building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area
落合ミュージックハイム,マンション,東京都新宿区上落合２丁目,3階建て, 都営大江戸線 中井駅/徒歩3分東京メトロ東西線 落合駅/徒歩6分西武鉄道新宿線 下落合駅/徒歩10分,築39年,鉄筋コンクリート,2階,6万円,"5,000円",1ヶ月,1ヶ月,1R,16m²
ライオンズマンション新宿御苑第２,マンション,東京都新宿区新宿２丁目,11階建て, 都営新宿線 新宿三丁目駅/徒歩2分東京メトロ丸ノ内線 新宿御苑前駅/徒歩4分ＪＲ山手線 新宿駅/徒歩13分,築40年,鉄骨鉄筋コンクリート,10階,10.8万円,"10,000円",1ヶ月,－,1DK,29.92m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,2階,13.1万円,"5,000円",－,1ヶ月,1LDK,27.31m²
メゾン・ド・バルセル,マンション,東京都新宿区下落合３丁目,4階建て, ＪＲ山手線 目白駅/徒歩4分東京メトロ副都心線 雑司が谷駅/徒歩13分ＪＲ山手線 高田馬場駅/徒歩14分,築42年,鉄筋コンクリート,2階,5.9万円,"5,000円",－,－,1R,18.83m²
カーサ富久町,マンション,東京都新宿区富久町,10階建て, 都営新宿線 曙橋駅/徒歩6分東京メトロ丸ノ内線 四谷三丁目駅/徒歩8分東京メトロ丸ノ内線 新宿御苑前駅/徒歩10分,築43年,鉄骨鉄筋コンクリート,3階,8.3万円,－,2ヶ月,1ヶ月,1DK,25m²
ファミール西新宿,マンション,東京都新宿区西新宿３丁目,15階建て, ＪＲ山手線 新宿駅/徒歩12分小田急小田原線 参宮橋駅/徒歩13分京王電鉄京王線 初台駅/徒歩12分,築43年,鉄骨鉄筋コンクリート,3階,15万円,－,1ヶ月,1ヶ月,1LDK,49.71m²
シャトレ市ヶ谷,マンション,東京都新宿区富久町,14階建て, 都営新宿線 曙橋駅/徒歩8分東京メトロ丸ノ内線 新宿御苑前駅/徒歩8分東京メトロ丸ノ内線 四谷三丁目駅/徒歩10分,築52年,鉄骨鉄筋コンクリート,7階,12万円,"8,000円",1ヶ月,1ヶ月,1K,36.51m²
ブランカ,マンション,東京都新宿区四谷４丁目,4階建て, 都営新宿線 曙橋駅/徒歩5分東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分東京メトロ丸ノ内線 新宿御苑前駅/徒歩10分,築53年,鉄筋コンクリート,1階,7.1万円,"3,000円",1ヶ月,1ヶ月,1R,18.77m²
東京都新宿区新宿７丁目,アパート,東京都新宿区新宿７丁目,3階建て, 東京メトロ副都心線 東新宿駅/徒歩4分ＪＲ山手線 新大久保駅/徒歩14分西武鉄道新宿線 西武新宿駅/徒歩12分,築2年,軽量鉄骨,2階,12万円,－,0.5ヶ月,0.5ヶ月,1K,26.72m²
ミレドゥーエ新宿中落合,マンション,東京都新宿区中落合２丁目,4階建て, 西武鉄道新宿線 下落合駅/徒歩9分西武鉄道新宿線 中井駅/徒歩10分西武池袋・豊島線 椎名町駅/徒歩11分,築2年,鉄筋コンクリート,3階,15万円,"15,000円",－,－,1LDK,35.45m²
東京都新宿区北新宿２丁目,マンション,東京都新宿区北新宿２丁目,3階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩7分東京メトロ丸ノ内線 中野坂上駅/徒歩8分ＪＲ総武線 大久保駅/徒歩12分,築4年,鉄骨造,3階,11.3万円,"3,000円",1ヶ月,－,1R,30m²
ブリランテ西新宿,マンション,東京都新宿区西新宿３丁目,3階建て, 京王電鉄京王線 初台駅/徒歩6分都営大江戸線 都庁前駅/徒歩11分都営大江戸線 西新宿五丁目駅/徒歩12分,築4年,鉄骨造,2階,16.6万円,"4,000円",1ヶ月,1ヶ月,1LDK,48.53m²
ＡＸＡＳレジデンス外苑,マンション,東京都新宿区南元町,7階建て, ＪＲ総武線 信濃町駅/徒歩6分都営大江戸線 国立競技場駅/徒歩11分東京メトロ丸ノ内線 四谷三丁目駅/徒歩12分,築4年,鉄筋コンクリート,3階,17万円,"15,000円",1ヶ月,－,1LDK,45.17m²
Ｎビル上落合,マンション,東京都新宿区上落合１丁目,5階建て, 西武鉄道新宿線 下落合駅/徒歩2分,築4年,鉄筋コンクリート,4階,17.4万円,"11,000円",－,1ヶ月,1LDK,49.44m²
東京都新宿区上落合１丁目,マンション,東京都新宿区上落合１丁目,5階建て, 西武鉄道新宿線 下落合駅/徒歩2分,築4年,鉄筋コンクリート,4階,17.4万円,"11,000円",－,1ヶ月,1LDK,49.44m²
オーギュメント牛込神楽坂,マンション,東京都新宿区北山伏町,10階建て, 都営大江戸線 牛込柳町駅/徒歩5分都営大江戸線 牛込神楽坂駅/徒歩8分東京メトロ東西線 神楽坂駅/徒歩11分,築5年,鉄筋コンクリート,3階,17万円,"8,000円",1ヶ月,1ヶ月,1LDK,35.7m²
